username,comentario,data,likes
joseedson.21,@ftxalves @nanda.ialves25,2026-05-13 18:49:08+00:00,0
joseedson.21,@aimeellen @jeaneh.07031999,2026-05-13 18:49:03+00:00,0
nanda.ialves25,@rejane544 @lafayellelimarocha,2026-05-13 17:50:40+00:00,0
nanda.ialves25,@mariaoliveira7197 @cristiane.ribeiiro,2026-05-13 17:50:27+00:00,0
nanda.ialves25,@lucinavarela @marleide.alexandre.9,2026-05-13 17:50:11+00:00,0
nanda.ialves25,@mariado728carmo @erikacraveiro.nutri,2026-05-13 17:49:58+00:00,0
nanda.ialves25,@beezusalbuquerque @limaadrica,2026-05-13 17:49:38+00:00,0
nanda.ialves25,@aimeellen @ericasousafirmino,2026-05-13 17:49:30+00:00,0
nanda.ialves25,@ftxalves @dayanekellypraciano,2026-05-13 17:49:26+00:00,0
jocimaria30,@kethelysantous @tatyanneduartes,2026-05-13 00:54:56+00:00,0
jocimaria30,@limadossantosbrandao @marcia__regina16,2026-05-13 00:53:31+00:00,0
jocimaria30,@janinhareis_ @zilmareis_,2026-05-13 00:31:28+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:55:07+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:54:52+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:54:51+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:54:49+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:54:47+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:54:46+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:54:44+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:54:42+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:54:40+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:54:39+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:54:36+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:54:34+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:54:32+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:54:30+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:54:29+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:54:27+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:54:25+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:54:23+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:54:21+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:54:20+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:54:18+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:54:16+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:54:14+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:54:13+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:54:10+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:54:08+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:54:07+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:54:05+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:53:58+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:53:57+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:53:55+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:53:53+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:53:52+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:53:48+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:53:46+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:53:45+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:53:43+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:53:42+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:53:39+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:53:37+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:53:35+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:53:32+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:53:27+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:53:25+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:53:24+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:53:23+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:53:20+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:53:19+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:53:07+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:53:05+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:53:04+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:53:02+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:53:01+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:52:59+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:52:58+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:51:30+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:51:29+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:51:27+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:51:26+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:51:24+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:51:23+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:51:22+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:51:21+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:51:19+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:51:17+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:51:15+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:51:13+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:51:12+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:51:10+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:51:09+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:51:08+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:51:06+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:51:05+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:51:03+00:00,0
